Item No.,Description,Unit,Quantity,Unit Price (P),Total Amount (P)
Part B,Other General Requirements,,,,
B.3(1),Permits and Clearances,l.s.,1.00,"113,400.00","113,400.00"
B.5(1),Project Billboard/ Signboard,each,3.00,"2,520.00","7,560.00"
B.7(1),Occupational Safety and Health,l.s.,1.00,"252,466.19","252,466.19"
B.9(1),Mobilization/ Demobilization,l.s.,1.00,"40,320.00","40,320.00"
Part C,Earthwork,,,,
800(2),Clearing and Grubbing,l.s.,1.00,"8,820.00","8,820.00"
803(1)a,Structure Excavation (Common Soil),cu.m.,62.59,378.00,"23,659.02"
804(1)a,Embankment from Roadway/Structure Excavation (Common Soil),cu.m.,37.78,268.94,"10,160.55"
804(2)a,Embankment from Borrow (Common Soil),cu.m.,180.00,876.40,"157,752.00"
804(7),Gravel Fill,cu.m.,22.00,"1,352.00","29,744.00"
807(2),Softscape,l.s.,1.00,"148,187.09","148,187.09"
Part D,Reinforced Concrete,,,,
900(6),Reinforced Concrete,cu.m.,87.74,"7,082.00","621,374.68"
902(1)a1,"Reinforcing Steel (Deformed) - Grade 40",kg,"4,484.68",80.00,"358,774.40"
903(2),Formworks and Falseworks,sq.m.,563.00,620.00,"349,060.00"
Part E,Finishing and Other Civil Works,,,,
1001(5)b,Catch Basin (CHB),each,9.00,"13,112.00","118,008.00"
1001(8),Sewer Line Works,l.s.,1.00,"40,636.76","40,636.76"
1001(9),Storm Drainage and Downspout,l.s.,1.00,"78,728.33","78,728.33"
1001(11),"Septic Vault/Tank, Concrete/CHB",l.s.,1.00,"13,685.36","13,685.36"
1002(4),Plumbing Fixtures,l.s.,1.00,"62,734.39","62,734.39"
1002(24),Cold Water Lines,l.s.,1.00,"34,683.26","34,683.26"
1004(2),Finishing Hardware,l.s.,1.00,"187,337.30","187,337.30"
1007(1)b,Aluminum Framed Glass Door (Swing Type),sq.m.,13.00,"7,574.93","98,474.09"
1008(1)a,Aluminum Glass Windows (Sliding Type),sq.m.,7.00,"5,678.00","39,746.00"
1008(1)c,Aluminum Glass Windows (Awning Type),sq.m.,11.00,"3,507.89","38,586.79"
1008(1)d,Aluminum Glass Windows (Fixed Type),sq.m.,31.77,"1,719.16","54,617.71"
1010(2)b,Doors (Wood Panel),sq.m.,5.00,"4,820.71","24,103.55"
1013(2)b,"Fabricated Metal Roofing Accessory, Gauge 26/0.551mm (Flashing)",l.m.,49.10,352.88,"17,326.41"
1014(1)b2,"Pre-painted Metal Sheets (above 0.427mm, Rib Type, Long Span)",sq.m.,132.00,798.50,"105,402.00"
1018(1),Glazed Tiles and Trims,sq.m.,165.28,"1,814.38","299,880.73"
1018(2),Unglazed Tiles,sq.m.,21.88,"1,476.45","32,304.73"
1027(1),Cement Plaster Finish,sq.m.,679.35,202.36,"137,473.27"
1027(3),Decorative Stone,sq.m.,32.28,"2,005.00","64,721.40"
1030(1),Acoustical Ceiling Panel,sq.m.,132.00,"1,755.35","231,706.20"
1032(1)a,Painting Works (Masonry/Concrete),sq.m.,698.13,441.76,"308,405.91"
1032(1)c,Painting Works (Steel),sq.m.,323.00,542.88,"175,350.24"
1036(1)c,Polycarbonate Sheets/Panels (Multi Wall),l.m.,9.00,"4,353.11","39,177.99"
1043(1),PVC Doors and Frames,sq.m.,8.00,"5,000.89","40,007.12"
1046(2)a1,"CHB Non-Load Bearing (including Reinforcing Steel), 100mm",sq.m.,313.58,960.00,"301,036.80"
1047(7),Structural Steel,l.s.,1.00,"617,648.98","617,648.98"
1051(1)a,Railing,l.s.,1.00,"121,279.00","121,279.00"
Part F,Electrical,,,,
1100(10),"Conduits, Boxes & Fittings (Conduit Works/Conduit Rough-in)",l.s.,1.00,"73,080.00","73,080.00"
1101(33),Wires and Wiring Devices,l.s.,1.00,"100,800.00","100,800.00"
1102(1),Panelboard with Main & Branch Breakers,l.s.,1.00,"38,430.00","38,430.00"
1103(1),Lighting Fixtures,l.s.,1.00,"75,600.00","75,600.00"
Part F,Mechanical,,,,
1202(6)a1,"Fire Extinguisher (4.54kg, ABC with bracket)",set,1.00,"18,900.00","18,900.00"
1200(13)a,Air Conditioning System (Package/Split Type),l.s.,1.00,"101,569.00","101,569.00"
1208(1),Fire Alarm System,l.s.,1.00,"122,185.22","122,185.22"
Grand Total,,,,,"5,934,904.47"
